goodreads_book_id,tag_id,count,tag_name
1,11305,37174,fantasy
2,11305,3441,fantasy
3,11305,47478,fantasy
5,11305,39330,fantasy
6,11305,38378,fantasy
8,11305,104,fantasy
10,11305,253,fantasy
11,26837,10977,science fiction
13,26837,2614,science fiction
21,14552,3160,history
24,31155,2312,travel
25,21773,540,nonfiction
26,31155,1536,travel
27,31155,1827,travel
28,31155,2191,travel
29,21689,410,fiction
30,11743,322,fiction
33,11305,13690,fantasy
34,11305,31618,fantasy
36,11305,104,fantasy
50,33114,2121,young adult
67,14487,682,historical fiction
93,7457,2886,classics
98,21773,118,nonfiction
105,26837,1356,science fiction
106,11743,1080,fiction
112,26837,2762,science fiction
117,26837,1535,science fiction
119,11305,89,fantasy
122,11743,1102,fiction
231,11743,536,fiction
249,11743,271,fiction
250,11743,363,fiction
264,7457,2632,classics
275,11743,656,fiction
291,23831,63,poetry
295,7457,8727,classics
304,7457,830,classics
320,7457,5578,classics
343,11743,2637,fiction
348,26837,764,science fiction
350,26837,4665,science fiction
353,26837,931,science fiction
355,26837,484,science fiction
357,11743,1074,fiction
359,26837,505,science fiction
360,26837,2434,science fiction
365,26837,489,science fiction
378,11305,2880,fantasy
386,19733,280,memoir
400,11743,407,fiction
415,11743,378,fiction
424,21773,482,nonfiction
428,7457,123,classics
431,11743,1071,fiction
432,11743,261,fiction
446,11743,406,fiction
447,11743,284,fiction
449,11743,272,fiction
456,11743,261,fiction
475,21689,575,fiction
597,21689,416,fiction
599,21689,1229,fiction
621,21689,115,fiction
629,23471,2932,philosophy
647,21689,973,fiction
656,7457,7569,classics
662,11743,4365,fiction
665,23471,537,philosophy
667,11743,1934,fiction
668,7457,291,classics
676,23831,1355,poetry
698,11743,454,fiction
703,11743,431,fiction
706,21689,874,fiction
760,11743,812,fiction
771,26816,2944,science
816,11743,1892,fiction
822,11743,495,fiction
823,11743,856,fiction
825,11743,369,fiction
827,26837,1963,science fiction
830,26837,3911,science fiction
840,21689,328,fiction
865,11743,9712,fiction
870,19052,381,manga
880,14487,1215,historical fiction
890,7457,19214,classics
900,21689,418,fiction
902,20939,2666,mystery
903,11743,280,fiction
930,11743,8127,fiction
